City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Mpika,ZM,2022-01-21 03:37:08,-11.8343,31.4529,58.75,97,67,1.7
67,Mecca,SA,2022-01-21 03:34:23,21.4267,39.8261,64.38,40,0,8.14
68,Lasa,IT,2022-01-21 03:37:09,46.6166,10.7002,31.08,95,52,9.82
69,Pundaguitan,PH,2022-01-21 03:37:09,6.3711,126.1689,81.18,75,87,10.33
70,Dingle,PH,2022-01-21 03:37:10,10.9995,122.6711,84.36,67,64,12.21
71,Mar Del Plata,AR,2022-01-21 03:37:10,-38.0023,-57.5575,73.09,97,100,7.0
72,Portland,US,2022-01-21 03:37:11,45.5234,-122.6762,48.85,84,75,1.01
73,Panzhihua,CN,2022-01-21 03:37:11,26.5851,101.7128,58.96,50,95,1.16
74,Mentougou,CN,2022-01-21 03:37:12,39.9392,116.0917,25.74,58,95,3.06
75,Ilulissat,GL,2022-01-21 03:37:12,69.2167,-51.1,17.62,73,100,16.11
76,Jiwani,PK,2022-01-21 03:37:13,25.05,61.7417,71.15,76,0,25.7
77,Kokopo,PG,2022-01-21 03:37:13,-4.352,152.2633,81.84,78,98,5.08
78,Alofi,NU,2022-01-21 03:37:13,-19.0595,-169.9187,84.09,70,75,14.97
79,Mounana,GA,2022-01-21 03:37:14,-1.4085,13.1586,68.36,86,66,2.3
80,Chokurdakh,RU,2022-01-21 03:37:14,70.6333,147.9167,-40.61,99,81,4.79
81,New Norfolk,AU,2022-01-21 03:37:15,-42.7826,147.0587,83.91,26,13,3.0
82,Hasaki,JP,2022-01-21 03:37:15,35.7333,140.8333,43.2,44,2,25.59
83,Finote Selam,ET,2022-01-21 03:37:16,10.7,37.2667,55.2,72,42,1.83
84,Hofn,IS,2022-01-21 03:37:16,64.2539,-15.2082,43.05,92,100,20.71
85,Jaynagar-Majilpur,IN,2022-01-21 03:37:17,22.1758,88.4178,69.06,37,71,6.87
86,Saint-Philippe,RE,2022-01-21 03:37:17,-21.3585,55.7679,78.39,82,64,10.25
87,Ancud,CL,2022-01-21 03:37:17,-41.8697,-73.8203,53.22,91,26,8.34
88,Lavrentiya,RU,2022-01-21 03:37:18,65.5833,-171.0,-17.12,92,8,13.06
89,Labuhan,ID,2022-01-21 03:37:18,-6.8844,112.2051,81.16,73,100,6.17
90,Bengkulu,ID,2022-01-21 03:37:19,-3.8004,102.2655,79.86,73,100,2.17
91,Gyongyossolymos,HU,2022-01-21 03:37:19,47.8172,19.9362,31.89,79,76,12.71
92,Porto Novo,BJ,2022-01-21 03:36:48,6.4965,2.6036,73.22,47,60,3.49
93,Kununurra,AU,2022-01-21 03:38:20,-15.7667,128.7333,93.18,62,100,3.44
